web-scraper-order,web-scraper-start-url,size
"1728486848-55","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","675.7 Mbytes"
"1728486848-56","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","673.9 Mbytes"
"1728486848-57","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","661.3 Mbytes"
"1728486848-58","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","694.7 Mbytes"
"1728486848-59","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","686.0 Mbytes"
"1728486848-60","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","716.8 Mbytes"
"1728486848-61","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","718.2 Mbytes"
"1728486848-62","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","669.0 Mbytes"
"1728486848-63","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","705.3 Mbytes"
"1728486848-64","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","678.1 Mbytes"
"1728486848-65","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","685.5 Mbytes"
"1728486848-66","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","656.6 Mbytes"
"1728486848-67","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","673.3 Mbytes"
"1728486848-68","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","676.0 Mbytes"
"1728486848-69","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","661.3 Mbytes"
"1728486848-70","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","695.7 Mbytes"
"1728486848-71","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","684.4 Mbytes"
"1728486848-72","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","717.0 Mbytes"
"1728486848-73","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","718.3 Mbytes"
"1728486848-74","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","644.8 Mbytes"
"1728486848-75","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","707.4 Mbytes"
"1728486848-76","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","676.4 Mbytes"
"1728486848-77","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","687.1 Mbytes"
"1728486848-78","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","659.8 Mbytes"
"1728486848-79","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","672.3 Mbytes"
"1728486848-80","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","675.9 Mbytes"
"1728486848-81","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","661.5 Mbytes"
"1728486848-82","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","696.8 Mbytes"
"1728486848-83","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","689.2 Mbytes"
"1728486848-84","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","718.8 Mbytes"
"1728486848-85","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","717.5 Mbytes"
"1728486848-86","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","645.3 Mbytes"
"1728486848-87","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","708.1 Mbytes"
"1728486848-88","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","677.4 Mbytes"
"1728486848-89","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","689.6 Mbytes"
"1728486848-90","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","661.4 Mbytes"
"1728486848-91","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","675.6 Mbytes"
"1728486848-92","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","677.9 Mbytes"
"1728486848-93","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","663.3 Mbytes"
"1728486848-94","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","702.1 Mbytes"
"1728486848-95","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","686.8 Mbytes"
"1728486848-96","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","714.9 Mbytes"
"1728486848-97","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","720.2 Mbytes"
"1728486848-98","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","643.9 Mbytes"
"1728486848-99","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","713.3 Mbytes"
"1728486848-100","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","679.5 Mbytes"
"1728486848-101","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","688.6 Mbytes"
"1728486848-102","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","662.4 Mbytes"
"1728486848-103","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","678.5 Mbytes"
"1728486848-104","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","674.9 Mbytes"
"1728486848-105","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","659.3 Mbytes"
"1728486848-106","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","692.7 Mbytes"
"1728486848-107","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","684.8 Mbytes"
"1728486848-108","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","714.2 Mbytes"
"1728486848-109","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","710.3 Mbytes"
"1728486848-110","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","662.7 Mbytes"
"1728486848-111","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","701.1 Mbytes"
"1728486848-112","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","668.9 Mbytes"
"1728486848-113","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","682.5 Mbytes"
"1728486848-114","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","654.7 Mbytes"
"1728486848-115","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","665.0 Mbytes"
"1728486848-116","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","669.7 Mbytes"
"1728486848-117","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","654.2 Mbytes"
"1728486848-118","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","684.7 Mbytes"
"1728486848-119","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","673.6 Mbytes"
"1728486848-120","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","706.0 Mbytes"
"1728486848-121","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","707.2 Mbytes"
"1728486848-122","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","640.8 Mbytes"
"1728486848-123","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","696.3 Mbytes"
"1728486848-124","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","666.9 Mbytes"
"1728486848-125","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","683.7 Mbytes"
"1728486848-126","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","655.5 Mbytes"
"1728486848-127","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","671.9 Mbytes"
"1728486848-128","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","672.3 Mbytes"
"1728486848-129","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","661.5 Mbytes"
"1728486848-130","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","689.2 Mbytes"
"1728486848-131","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","675.6 Mbytes"
"1728486848-132","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","707.4 Mbytes"
"1728486848-133","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","708.0 Mbytes"
"1728486848-134","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","641.8 Mbytes"
"1728486848-135","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","702.3 Mbytes"
"1728486848-136","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","670.6 Mbytes"
"1728486848-137","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","685.2 Mbytes"
"1728486848-138","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","653.9 Mbytes"
"1728486848-139","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","671.3 Mbytes"
"1728486848-140","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","670.2 Mbytes"
"1728486848-141","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","658.8 Mbytes"
"1728486848-142","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","691.4 Mbytes"
"1728486848-143","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","678.6 Mbytes"
"1728486848-144","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","710.6 Mbytes"
"1728486848-145","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","700.8 Mbytes"
"1728486848-146","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","633.6 Mbytes"
"1728486848-147","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","697.6 Mbytes"
"1728486848-148","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","661.3 Mbytes"
"1728486848-149","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","678.5 Mbytes"
"1728486848-150","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","651.0 Mbytes"
