name,url,p1,p2,p3,p4
acpcp.2005.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.2005.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.2006.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.2006.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.2007.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.2007.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.2008.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.2008.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.2009.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.2009.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.2010.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.2010.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.2011.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.2011.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.2012.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.2012.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.2013.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.2013.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.2014.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.2014.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.2015.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.2015.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.2016.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.2016.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.2017.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.2017.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.2018.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.2018.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.2019.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.2019.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
